codigo,descricao,salario_medio_atual,modelo_vencedor,score,previsao_5,previsao_10,previsao_15,previsao_20,tendencia_salarial,tendencia_mercado
10105,Oficial General da Aeronautica,1726.94,Fallback,0.6634,1860.4048376680819,2004.1843723689308,2159.075765188094,2325.9377850115493,Decrescente,CRESCIMENTO LEVE
10110,Oficial General do Exercito,1760.14,ARIMA,1.1813,1896.170666597043,2042.7143277597659,2200.583469801019,2370.6533712290116,Decrescente,NOVA TENDÊNCIA
10115,Oficial General da Marinha,1626.11,XGBoost,0.8703,1751.7822915564202,1887.167040981645,2033.0148659073338,2190.1343947011073,Decrescente,MERCADO INCERTO
10205,Oficial da Aeronautica,1967.38,Fallback,0.7111,2119.4270035620407,2283.2248083379777,2459.6815632944704,2649.7756027864443,Oscilante,CRESCIMENTO LEVE
10210,Oficial do Exercito,1913.48,ARIMA,1.1854,2061.361395752673,2220.671657869122,2392.2940549018,2577.1801179333966,Crescente,IMPREVISÍVEL
10215,Oficial da Marinha,2000.7,XGBoost,0.6792,2155.3221065714683,2321.8940286278157,2501.339295755394,2694.652811604692,Oscilante,IMPREVISÍVEL
10305,Praca da Aeronautica,1882.63,Fallback,0.6586,2028.1271842328401,2184.868973417096,2353.7243956455127,2535.6296409813276,Crescente,IMPREVISÍVEL
10310,Praca do Exercito,1644.47,ARIMA,0.9641,1771.5612258677374,1908.4745705291068,2055.969126651108,2214.8626526213666,Crescente,ALTA NOS ÚLTIMOS MESES
10315,Praca da Marinha,1927.08,Holt-Winters,1.1836,2076.0124582055005,2236.455013089464,2409.297211008299,2595.497346022477,Decrescente,CRESCIMENTO LEVE
20105,Coronel da Policia Militar,1625.71,Fallback,0.5619,1751.3513779548666,1886.702824651635,2032.5147730806723,2189.5956526984874,Decrescente,CRESCIMENTO VOLÁTIL
20110,Tenente-Coronel da Policia Militar,2018.08,XGBoost,0.8246,2174.0453025589786,2342.0642281667524,2523.0683290738466,2718.0611516185318,Oscilante,NOVA TENDÊNCIA
20115,Major da Policia Militar,1852.25,Fallback,0.7761,1995.3992961948327,2149.6117431528323,2315.7423454605528,2494.7121858823366,Oscilante,ALTA NOS ÚLTIMOS MESES
20205,Capitao da Policia Militar,2071.61,ARIMA,0.7327,2231.7123152869094,2404.187978530349,2589.9932516018553,2790.1583001191566,Decrescente,NOVA TENDÊNCIA
20305,Primeiro Tenente de Policia Militar,1848.99,Holt-Winters,1.087,1991.8873503421696,2145.8283800632503,2311.6665889232595,2490.3214385609836,Crescente,VARIAÇÃO INTENSA
20310,Segundo Tenente de Policia Militar,1796.43,ARIMA,1.0311,1935.265303098007,2084.8303542999283,2245.9543914999063,2419.5307394167125,Crescente,IMPREVISÍVEL
21105,Subtenente da Policia Militar,1917.54,Prophet,1.1894,2065.7351688084436,2225.383453618724,2397.3699970924163,2582.6483492599896,Oscilante,MERCADO INCERTO
21110,Sargento da Policia Militar,1770.25,ARIMA,0.7887,1907.062007876314,2054.44739550077,2213.2233159948946,2384.2700753452323,Crescente,ALTA NOS ÚLTIMOS MESES
21205,Cabo da Policia Militar,1665.43,Linear,0.5668,1794.141098589154,1932.799506221634,2082.173990768184,2243.0927335586557,Oscilante,MERCADO ESTÁVEL
21210,Soldado da Policia Militar,2033.62,XGBoost,0.5372,2190.7862959793415,2360.0990325876433,2542.4969353896554,2738.9912784203198,Decrescente,CRESCIMENTO FORTE
30105,Coronel Bombeiro Militar,2030.13,Prophet,0.5957,2187.0265748057855,2356.048745108306,2538.1336254770317,2734.29075444746,Decrescente,CRESCIMENTO LEVE
30110,Major Bombeiro Militar,1987.07,ARIMA,0.8816,2140.638725598524,2306.0758571827228,2484.2986326868945,2676.2951778654146,Oscilante,CRESCIMENTO VOLÁTIL
30115,Tenente-Coronel Bombeiro Militar,1866.42,Linear,0.5147,2010.6644105298744,2166.0566066434385,2333.4581338450453,2513.797121325151,Crescente,MERCADO ESTÁVEL
30205,Capitao Bombeiro Militar,1866.25,Fallback,1.0727,2010.4812722492138,2165.8593147031843,2333.245594393714,2513.5681559740374,Decrescente,CRESCIMENTO LEVE
30305,Tenente do Corpo de Bombeiros Militar,2093.68,ARIMA,0.8327,2255.487973252637,2429.8011145386536,2617.5858733129166,2819.883390113716,Decrescente,MERCADO INCERTO
31105,Subtenente Bombeiro Militar,1864.97,Fallback,0.621,2009.102348724242,2164.373822447152,2331.6452973483965,2511.8441815656533,Oscilante,RETRAÇÃO LEVE
31110,Sargento Bombeiro Militar,1781.82,ARIMA,0.7105,1919.5261838012561,2067.874852846311,2227.6885010060855,2399.853187771016,Crescente,MERCADO ESTÁVEL
31205,Cabo Bombeiro Militar,1908.1,XGBoost,1.0435,2055.565607811775,2214.427948230487,2385.5678063831992,2569.934037998157,Oscilante,MERCADO ESTÁVEL
31210,Soldado Bombeiro Militar,1620.0,Holt-Winters,0.6137,1745.2000862926866,1880.0761365407413,2025.3759479800758,2181.905110611087,Decrescente,MERCADO INCERTO
111105,Senador,1963.72,Fallback,0.8621,2115.484144107824,2278.9772289183857,2455.1057139305153,2644.8461134624713,Oscilante,RETRAÇÃO LEVE
111110,Deputado Federal,2066.8,Prophet,0.5128,2226.5305792282256,2398.605777161978,2583.979635361248,2783.6799275376507,Crescente,ALTA NOS ÚLTIMOS MESES
111115,Deputado Estadual e Distrital,1780.18,Holt-Winters,0.6108,1917.759438034886,2065.9715658932696,2225.6381204167724,2397.6443455602744,Crescente,MERCADO INCERTO
111120,Vereador,1946.35,XGBoost,1.1796,2096.771720960352,2258.8186347876986,2433.3891829327285,2621.4512419986963,Crescente,CRESCIMENTO VOLÁTIL
111205,Presidente da Republica,1718.7,XGBoost,0.6454,1851.5280174760744,1994.6215159707235,2148.773852958862,2314.839699757577,Oscilante,CRESCIMENTO VOLÁTIL
111210,Vice-Presidente da Republica,1845.45,Fallback,0.791,1988.073764968419,2141.7200655426614,2307.2407674073033,2485.5535718377964,Oscilante,CRESCIMENTO VOLÁTIL
111215,Ministro de Estado,2084.32,Prophet,0.6902,2245.4045949762794,2418.938452416419,2605.883701169032,2807.2768272524077,Oscilante,RETRAÇÃO LEVE
111220,Secretario - Executivo,1646.93,Linear,0.5295,1774.211344517293,1911.3295009586686,2059.0446975350783,2218.1759159374797,Crescente,ALTA NOS ÚLTIMOS MESES
